Nombre,Posicion,Numero,Equipo,Prediccion,Color,Probabilidad,Alinear,Rojo,Naranja,Verde,Azul
Cenk Özkacar,CB,6,Valladolid,0.75,Naranja,79.17,Sí,11.73,79.17,5.19,3.91
Adrian Baquerin,FW,29,Valladolid,-7.125,Rojo,71.49,No,71.49,22.88,3.09,2.54
Borja Iglesias,FW,7,Celta Vigo,16.34375,Verde,59.31,Sí,2.65,25.3,59.31,12.74
Pablo Durán,FW,18,Celta Vigo,-7.375,Rojo,72.76,No,72.76,21.56,3.11,2.56
Alfon,LW,12,Celta Vigo,0.75,Naranja,79.17,Sí,11.73,79.17,5.19,3.91
Iker Losada,LW,14,Celta Vigo,-5.25,Rojo,53.05,No,53.05,42.44,2.5,2.02
Iago Aspas,RW,10,Celta Vigo,0.125,Naranja,78.48,Sí,12.81,78.48,4.94,3.76
Fer López,RW,28,Celta Vigo,-4.375,Naranja,58.69,No,36.12,58.69,2.88,2.31
Óscar Mingueza,LM,3,Celta Vigo,16.5,Verde,60.0,Sí,2.67,24.0,60.0,13.33
Jailson Siqueira,CB,16,Celta Vigo,16.25,Verde,58.83,Sí,2.64,26.15,58.83,12.38
Hugo Sotelo,CM,4,Celta Vigo,15.59375,Verde,53.8,Sí,2.49,33.76,53.8,9.95
Damián Rodríguez,CM,25,Celta Vigo,-1.125,Naranja,76.41,No,15.67,76.41,4.46,3.45
Fran Beltrán,CM,8,Celta Vigo,-2.375,Naranja,72.83,No,20.09,72.83,3.96,3.12
Sergio Carreira,RM,5,Celta Vigo,-0.875,Naranja,76.92,No,15.01,76.92,4.56,3.52
Marcos Alonso,CB,20,Celta Vigo,16.875,Verde,61.2,Sí,2.68,21.29,61.2,14.84
