Name,Shirtnumber,Nationality,Position,Age,Minutes,Goals,Assists,Pens Made,Pens Att,Shots,Shots on Target,Cards Yellow,Cards Red,Touches,Tackles,Interceptions,Blocks,XG,NPXG,XG Assist,SCA,GCA,Passes Completed,Passes,Passes %,Progressive Passes,Carries,Progressive Carries,Take Ons,Take Ons Won,GC (Goles en contra),Salvadas,PSxG,Opponent Team,Match Date,Puntuation,Team Style,Year,Month,Day,Reward
Sergi Cardona,23,esESP,LB,25-049,90,1,1,0,0,3,1,0,0,58,3,1,4,1.0,1.0,0.5,7,1,37,45,82.2,5,23,2,0,0,3,0,0,Celta Vigo,"August 26, 2024",12.0
Eric Bailly,4,ciCIV,CB,30-136,57,0,0,0,0,1,0,0,0,44,1,1,2,0.1,0.1,0.0,1,0,34,37,91.9,3,23,0,0,0,3,0,0,Celta Vigo,"August 26, 2024",1.0
Logan Costa,2,cvCPV,CB,23-147,33,0,0,0,0,0,0,0,0,21,0,0,0,0.0,0.0,0.0,0,0,17,18,94.4,0,6,0,0,0,3,0,0,Celta Vigo,"August 26, 2024",0.0
Raúl Albiol,3,esESP,CB,38-357,90,0,0,0,0,0,0,1,0,52,1,0,1,0.0,0.0,0.0,0,0,42,42,100.0,1,26,0,0,0,3,0,0,Celta Vigo,"August 26, 2024",1.0
Kiko Femenía,17,esESP,RB,33-206,90,0,0,0,0,1,0,1,0,86,1,1,4,0.0,0.0,0.1,2,0,64,73,87.7,14,46,6,1,1,3,0,0,Celta Vigo,"August 26, 2024",6.0
Diego Conde,13,esESP,GK,25-303,90,0,0,0,0,0,0,0,0,20,0,0,0,0.0,0.0,0.0,0,0,16,17,94.1,0,8,0,0,0,3,4,2.8,Celta Vigo,"August 26, 2024",3.0
16 Players,0,0,0,0,990,3,2,0,1,23,8,4,0,593,14,6,18,3.7,2.8,2.4,42,4,420,482,87.1,54,290,17,9,4,3,0,0,Celta Vigo,"August 26, 2024",47.0
Borja Iglesias,7,esESP,FW,31-222,73,1,0,0,0,1,1,0,0,24,0,0,0,0.1,0.1,0.0,2,1,14,18,77.8,0,12,1,2,2,4,0,0,Villarreal,"August 26, 2024",6.0
Anastasios Douvikas,9,grGRE,FW,25-024,17,0,0,0,0,2,0,0,0,6,0,0,0,0.3,0.3,0.0,0,0,2,2,100.0,0,4,0,1,0,4,0,0,Villarreal,"August 26, 2024",-1.0
Jonathan Bamba,17,ciCIV,LW,28-153,90,0,0,0,0,3,1,0,0,53,1,2,1,0.2,0.2,0.7,8,1,38,46,82.6,3,34,5,4,3,4,0,0,Villarreal,"August 26, 2024",6.0
Alfon,12,esESP,RW,25-114,69,0,0,0,0,3,0,0,0,23,1,0,0,0.5,0.5,0.1,8,1,12,16,75.0,2,17,2,5,4,4,0,0,Villarreal,"August 26, 2024",5.0
Iago Aspas,10,esESP,AM,37-025,21,0,0,0,0,0,0,0,0,15,0,0,0,0.0,0.0,0.0,1,0,14,14,100.0,2,8,0,0,0,4,0,0,Villarreal,"August 26, 2024",-1.0
Sergio Carreira,5,esESP,LM,23-318,57,0,0,0,0,1,0,0,0,38,1,0,0,0.0,0.0,0.0,0,0,27,31,87.1,1,22,2,0,0,4,0,0,Villarreal,"August 26, 2024",0.0
Hugo Álvarez,30,esESP,LB,21-055,33,0,0,0,0,0,0,1,0,27,2,0,0,0.0,0.0,0.0,2,0,24,25,96.0,4,20,3,0,0,4,0,0,Villarreal,"August 26, 2024",-2.0
Ilaix Moriba,6,gnGUI,CM,21-220,57,0,0,0,0,0,0,1,0,35,0,1,1,0.0,0.0,0.2,1,0,27,30,90.0,1,26,1,0,0,4,0,0,Villarreal,"August 26, 2024",1.0
Fran Beltrán,8,esESP,DM,25-205,33,0,0,0,0,2,0,0,0,31,0,0,0,0.1,0.1,0.5,4,0,28,28,100.0,4,20,0,0,0,4,0,0,Villarreal,"August 26, 2024",2.0
Damián Rodríguez,25,esESP,CM,21-162,90,0,0,0,0,0,0,0,0,82,1,0,0,0.0,0.0,0.1,3,1,72,80,90.0,4,47,0,0,0,4,0,0,Villarreal,"August 26, 2024",6.0
Óscar Mingueza,3,esESP,RM,25-105,90,1,1,0,0,1,1,0,0,88,2,0,0,0.0,0.0,0.2,4,1,57,77,74.0,11,59,6,2,1,4,0,0,Villarreal,"August 26, 2024",14.0
Javier Manquillo,22,esESP,CB,30-113,69,0,0,0,0,0,0,0,0,56,1,1,1,0.0,0.0,0.0,0,0,46,46,100.0,3,36,0,1,0,4,0,0,Villarreal,"August 26, 2024",0.0
Williot Swedberg,19,seSWE,LW,20-207,21,0,0,0,0,4,3,1,0,14,0,0,1,1.1,1.1,0.3,2,0,5,7,71.4,1,9,1,0,0,4,0,0,Villarreal,"August 26, 2024",-1.0
Carl Starfelt,2,seSWE,CB,29-086,90,1,0,0,0,2,1,0,0,78,0,1,0,0.2,0.2,0.0,0,0,68,69,98.6,1,50,0,0,0,4,0,0,Villarreal,"August 26, 2024",7.0
Jailson Siqueira,16,brBRA,CB,28-354,90,0,0,0,0,1,0,0,0,84,1,0,1,0.1,0.1,0.0,1,0,67,76,88.2,14,56,1,0,0,4,0,0,Villarreal,"August 26, 2024",2.0
